,Name,Sex,Age,Team,Country,NOC,Games,Year,Season,City,Sport,Event,Medal
3079,ARISTIDIS AKRATOPOULOS,M,25,GREECE,GREECE,GRE,1896 SUMMER,1896,SUMMER,ATHINA,TENNIS,TENNIS MEN'S SINGLES,NONE
3081,"KONSTANTINOS ""KOSTAS"" AKRATOPOULOS",M,25,GREECE,GREECE,GRE,1896 SUMMER,1896,SUMMER,ATHINA,TENNIS,TENNIS MEN'S SINGLES,NONE
36531,DEMETRIUS EMMANUEL CASDAGLI,M,23,GREECE,GREECE,GRE,1896 SUMMER,1896,SUMMER,ATHINA,TENNIS,TENNIS MEN'S SINGLES,SILVER
48857,NNDOR DNI,M,24,HUNGARY,HUNGARY,HUN,1896 SUMMER,1896,SUMMER,ATHINA,ATHLETICS,ATHLETICS MEN'S 800 METRES,SILVER
38252,CHARLES CHAMPAUD,M,25,SWITZERLAND,SWITZERLAND,SUI,1896 SUMMER,1896,SUMMER,ATHINA,GYMNASTICS,GYMNASTICS MEN'S HORSE VAULT,NONE
38253,CHARLES CHAMPAUD,M,25,SWITZERLAND,SWITZERLAND,SUI,1896 SUMMER,1896,SUMMER,ATHINA,GYMNASTICS,GYMNASTICS MEN'S PARALLEL BARS,NONE
38254,CHARLES CHAMPAUD,M,25,SWITZERLAND,SWITZERLAND,SUI,1896 SUMMER,1896,SUMMER,ATHINA,GYMNASTICS,GYMNASTICS MEN'S POMMELLED HORSE,NONE
16279,ALBERT BAUMANN,M,25,SWITZERLAND,SWITZERLAND,SUI,1896 SUMMER,1896,SUMMER,ATHINA,SHOOTING,"SHOOTING MEN'S MILITARY RIFLE, 200 METRES",NONE
22952,ARTHUR CHARLES BLAKE,M,24,UNITED STATES,UNITED STATES,USA,1896 SUMMER,1896,SUMMER,ATHINA,ATHLETICS,"ATHLETICS MEN'S 1,500 METRES",SILVER
32333,"THOMAS EDMUND ""TOM"" BURKE",M,21,UNITED STATES,UNITED STATES,USA,1896 SUMMER,1896,SUMMER,ATHINA,ATHLETICS,ATHLETICS MEN'S 100 METRES,GOLD
47374,"THOMAS PELHAM ""TOM"" CURTIS",M,23,UNITED STATES,UNITED STATES,USA,1896 SUMMER,1896,SUMMER,ATHINA,ATHLETICS,ATHLETICS MEN'S 100 METRES,NONE
47375,"THOMAS PELHAM ""TOM"" CURTIS",M,23,UNITED STATES,UNITED STATES,USA,1896 SUMMER,1896,SUMMER,ATHINA,ATHLETICS,ATHLETICS MEN'S 110 METRES HURDLES,GOLD
32334,"THOMAS EDMUND ""TOM"" BURKE",M,21,UNITED STATES,UNITED STATES,USA,1896 SUMMER,1896,SUMMER,ATHINA,ATHLETICS,ATHLETICS MEN'S 400 METRES,GOLD
42249,ELLERY HARDING CLARK,M,22,UNITED STATES,UNITED STATES,USA,1896 SUMMER,1896,SUMMER,ATHINA,ATHLETICS,ATHLETICS MEN'S HIGH JUMP,GOLD
44062,JAMES BRENDAN BENNET CONNOLLY,M,27,UNITED STATES,UNITED STATES,USA,1896 SUMMER,1896,SUMMER,ATHINA,ATHLETICS,ATHLETICS MEN'S HIGH JUMP,SILVER
42250,ELLERY HARDING CLARK,M,22,UNITED STATES,UNITED STATES,USA,1896 SUMMER,1896,SUMMER,ATHINA,ATHLETICS,ATHLETICS MEN'S LONG JUMP,GOLD
44063,JAMES BRENDAN BENNET CONNOLLY,M,27,UNITED STATES,UNITED STATES,USA,1896 SUMMER,1896,SUMMER,ATHINA,ATHLETICS,ATHLETICS MEN'S LONG JUMP,BRONZE
22953,ARTHUR CHARLES BLAKE,M,24,UNITED STATES,UNITED STATES,USA,1896 SUMMER,1896,SUMMER,ATHINA,ATHLETICS,ATHLETICS MEN'S MARATHON,NONE
42251,ELLERY HARDING CLARK,M,22,UNITED STATES,UNITED STATES,USA,1896 SUMMER,1896,SUMMER,ATHINA,ATHLETICS,ATHLETICS MEN'S SHOT PUT,NONE
44064,JAMES BRENDAN BENNET CONNOLLY,M,27,UNITED STATES,UNITED STATES,USA,1896 SUMMER,1896,SUMMER,ATHINA,ATHLETICS,ATHLETICS MEN'S TRIPLE JUMP,GOLD
34236,FRANCISCO CARMELO CAMET,M,23,ARGENTINA,ARGENTINA,ARG,1900 SUMMER,1900,SUMMER,PARIS,FENCING,"FENCING MEN'S EPEE, INDIVIDUAL",NONE
52159,GEORGES DE ZOGHEB,M,25,AUSTRIA-1,AUSTRIA,AUT,1900 SUMMER,1900,SUMMER,PARIS,EQUESTRIAN,EQUESTRIANISM MIXED FOUR-IN-HAND COMPETITION,NONE
29873,RUDOLF BROSCH,M,25,AUSTRIA,AUSTRIA,AUT,1900 SUMMER,1900,SUMMER,PARIS,FENCING,"FENCING MEN'S FOIL, INDIVIDUAL",NONE
6578,ALOIS ANDERLE,M,30,AUSTRIA,AUSTRIA,AUT,1900 SUMMER,1900,SUMMER,PARIS,SWIMMING,"SWIMMING MEN'S 4,000 METRES FREESTYLE",NONE
6579,ALOIS ANDERLE,M,30,AUSTRIA,AUSTRIA,AUT,1900 SUMMER,1900,SUMMER,PARIS,SWIMMING,SWIMMING MEN'S UNDERWATER SWIMMING,NONE
58844,"DRUART, JR.",M,25,BELGIUM,BELGIUM,BEL,1900 SUMMER,1900,SUMMER,PARIS,ARCHERY,ARCHERY MEN'S SUR LA PERCHE A LA HERSE,SILVER
86115,HUBERT VAN INNIS,M,34,BELGIUM,BELGIUM,BEL,1900 SUMMER,1900,SUMMER,PARIS,ARCHERY,"AU CHAPELET, 33 METRES, MEN",GOLD
86116,HUBERT VAN INNIS,M,34,BELGIUM,BELGIUM,BEL,1900 SUMMER,1900,SUMMER,PARIS,ARCHERY,"AU CHAPELET, 50 METRES, MEN",NONE
86117,HUBERT VAN INNIS,M,34,BELGIUM,BELGIUM,BEL,1900 SUMMER,1900,SUMMER,PARIS,ARCHERY,"AU CORDON DORÉ, 33 METRES, MEN",GOLD
86118,HUBERT VAN INNIS,M,34,BELGIUM,BELGIUM,BEL,1900 SUMMER,1900,SUMMER,PARIS,ARCHERY,"AU CORDON DORÉ, 50 METRES, MEN",SILVER
86119,HUBERT VAN INNIS,M,34,BELGIUM,BELGIUM,BEL,1900 SUMMER,1900,SUMMER,PARIS,ARCHERY,"CHAMPIONNAT DU MONDE, MEN",SILVER
38872,GEORGES CHAUDOIR,M,52,BELGIUM-1,BELGIUM,BEL,1900 SUMMER,1900,SUMMER,PARIS,EQUESTRIAN,EQUESTRIANISM MIXED FOUR-IN-HAND COMPETITION,NONE
54278,F. DESPRS,M,25,BELGIUM,BELGIUM,BEL,1900 SUMMER,1900,SUMMER,PARIS,FENCING,"FENCING MEN'S FOIL, MASTERS, INDIVIDUAL",NONE
53007,ALBERT DELBECQUE,M,25,UNIV. OF BRUSSELS,BELGIUM,BEL,1900 SUMMER,1900,SUMMER,PARIS,FOOTBALL,FOOTBALL MEN'S FOOTBALL,BRONZE
51658,DE POORTEN,M,25,BELGIUM,BELGIUM,BEL,1900 SUMMER,1900,SUMMER,PARIS,GYMNASTICS,GYMNASTICS MEN'S INDIVIDUAL ALL-AROUND,NONE
30409,PROSPRE BRUGGEMAN,M,27,ROYAL CLUB NAUTIQUE DE GAND,BELGIUM,BEL,1900 SUMMER,1900,SUMMER,PARIS,ROWING,ROWING MEN'S COXED EIGHTS,SILVER
50397,JULES MARIA ADOLPHE HENRI DE BISSCHOP,M,21,ROYAL CLUB NAUTIQUE DE GAND,BELGIUM,BEL,1900 SUMMER,1900,SUMMER,PARIS,ROWING,ROWING MEN'S COXED EIGHTS,SILVER
50646,OSCAR DE COCK,M,25,ROYAL CLUB NAUTIQUE DE GAND,BELGIUM,BEL,1900 SUMMER,1900,SUMMER,PARIS,ROWING,ROWING MEN'S COXED EIGHTS,SILVER
51900,OSCAR CHARLES DE SOMVILLE,M,23,ROYAL CLUB NAUTIQUE DE GAND,BELGIUM,BEL,1900 SUMMER,1900,SUMMER,PARIS,ROWING,ROWING MEN'S COXED EIGHTS,SILVER
30408,PROSPRE BRUGGEMAN,M,27,ROYAL CLUB NAUTIQUE DE GAND,BELGIUM,BEL,1900 SUMMER,1900,SUMMER,PARIS,ROWING,ROWING MEN'S COXED PAIRS,NONE
61906,PIERRE EICHHORN,M,25,BELGIUM,BELGIUM,BEL,1900 SUMMER,1900,SUMMER,PARIS,SHOOTING,"SHOOTING MEN'S FREE PISTOL, 50 METRES",NONE
61907,PIERRE EICHHORN,M,25,BELGIUM,BELGIUM,BEL,1900 SUMMER,1900,SUMMER,PARIS,SHOOTING,"SHOOTING MEN'S FREE PISTOL, 50 METRES, TEAM",NONE
14264,JOSEPH BARAS,M,25,BELGIUM,BELGIUM,BEL,1900 SUMMER,1900,SUMMER,PARIS,SHOOTING,"SHOOTING MEN'S FREE RIFLE, KNEELING, 300 METRES",NONE
32644,JULES DSIR BURY,M,37,BELGIUM,BELGIUM,BEL,1900 SUMMER,1900,SUMMER,PARIS,SHOOTING,"SHOOTING MEN'S FREE RIFLE, KNEELING, 300 METRES",NONE
14265,JOSEPH BARAS,M,25,BELGIUM,BELGIUM,BEL,1900 SUMMER,1900,SUMMER,PARIS,SHOOTING,"SHOOTING MEN'S FREE RIFLE, PRONE, 300 METRES",NONE
32645,JULES DSIR BURY,M,37,BELGIUM,BELGIUM,BEL,1900 SUMMER,1900,SUMMER,PARIS,SHOOTING,"SHOOTING MEN'S FREE RIFLE, PRONE, 300 METRES",NONE
14266,JOSEPH BARAS,M,25,BELGIUM,BELGIUM,BEL,1900 SUMMER,1900,SUMMER,PARIS,SHOOTING,"SHOOTING MEN'S FREE RIFLE, STANDING, 300 METRES",NONE
32646,JULES DSIR BURY,M,37,BELGIUM,BELGIUM,BEL,1900 SUMMER,1900,SUMMER,PARIS,SHOOTING,"SHOOTING MEN'S FREE RIFLE, STANDING, 300 METRES",NONE
14262,JOSEPH BARAS,M,25,BELGIUM,BELGIUM,BEL,1900 SUMMER,1900,SUMMER,PARIS,SHOOTING,"SHOOTING MEN'S FREE RIFLE, THREE POSITIONS, 300 METRES",NONE
32642,JULES DSIR BURY,M,37,BELGIUM,BELGIUM,BEL,1900 SUMMER,1900,SUMMER,PARIS,SHOOTING,"SHOOTING MEN'S FREE RIFLE, THREE POSITIONS, 300 METRES",NONE
14263,JOSEPH BARAS,M,25,BELGIUM,BELGIUM,BEL,1900 SUMMER,1900,SUMMER,PARIS,SHOOTING,"SHOOTING MEN'S FREE RIFLE, THREE POSITIONS, 300 METRES, TEAM",NONE
32643,JULES DSIR BURY,M,37,BELGIUM,BELGIUM,BEL,1900 SUMMER,1900,SUMMER,PARIS,SHOOTING,"SHOOTING MEN'S FREE RIFLE, THREE POSITIONS, 300 METRES, TEAM",NONE
43182,HENRI COHEN,M,25,BRUSSELS SWIMMING AND WATER POLO CLUB,BELGIUM,BEL,1900 SUMMER,1900,SUMMER,PARIS,WATER POLO,WATER POLO MEN'S WATER POLO,SILVER
50332,JEAN DE BACKER,M,25,BRUSSELS SWIMMING AND WATER POLO CLUB,BELGIUM,BEL,1900 SUMMER,1900,SUMMER,PARIS,WATER POLO,WATER POLO MEN'S WATER POLO,SILVER
50370,VICTOR DE BEHR,M,25,BRUSSELS SWIMMING AND WATER POLO CLUB,BELGIUM,BEL,1900 SUMMER,1900,SUMMER,PARIS,WATER POLO,WATER POLO MEN'S WATER POLO,SILVER
68846,FERNAND FEYAERTS,M,25,BRUSSELS SWIMMING AND WATER POLO CLUB,BELGIUM,BEL,1900 SUMMER,1900,SUMMER,PARIS,WATER POLO,WATER POLO MEN'S WATER POLO,SILVER
64050,FRANTIEK ERBEN,M,25,BOHEMIA,BOHEMIA,BOH,1900 SUMMER,1900,SUMMER,PARIS,GYMNASTICS,GYMNASTICS MEN'S INDIVIDUAL ALL-AROUND,NONE
41184,CHRISTIAN AUGUST CHRISTENSEN,M,23,DENMARK,DENMARK,DEN,1900 SUMMER,1900,SUMMER,PARIS,ATHLETICS,"ATHLETICS MEN'S 1,500 METRES",NONE
41183,CHRISTIAN AUGUST CHRISTENSEN,M,23,DENMARK,DENMARK,DEN,1900 SUMMER,1900,SUMMER,PARIS,ATHLETICS,ATHLETICS MEN'S 800 METRES,NONE
20551,JENS PETER BERTHELSEN,M,45,DENMARK,DENMARK,DEN,1900 SUMMER,1900,SUMMER,PARIS,FENCING,"FENCING MEN'S FOIL, MASTERS, INDIVIDUAL",NONE
3,EDGAR LINDENAU AABYE,M,34,DENMARK/SWEDEN,DENMARK,DEN,1900 SUMMER,1900,SUMMER,PARIS,TUG-OF-WAR,TUG-OF-WAR MEN'S TUG-OF-WAR,GOLD
50275,JOS DE AMZOLA Y ASPIZA,M,26,SPAIN,SPAIN,ESP,1900 SUMMER,1900,SUMMER,PARIS,BASQUE PELOTA,BASQUE PELOTA MEN'S TWO-MAN TEAMS WITH CESTA,GOLD
50850,LUIS ANTONIO SANTIAGO DE CUADRA Y RAOUL,M,52,SPAIN-1,SPAIN,ESP,1900 SUMMER,1900,SUMMER,PARIS,EQUESTRIAN,EQUESTRIANISM MIXED FOUR-IN-HAND COMPETITION,NONE
50794,MAURICIO LVAREZ DE LAS ASTURIAS BOHORQUES Y PONCE DE LON,M,35,SPAIN,SPAIN,ESP,1900 SUMMER,1900,SUMMER,PARIS,FENCING,"FENCING MEN'S FOIL, INDIVIDUAL",NONE
50796,MAURICIO LVAREZ DE LAS ASTURIAS BOHORQUES Y PONCE DE LON,M,35,SPAIN,SPAIN,ESP,1900 SUMMER,1900,SUMMER,PARIS,FENCING,"FENCING MEN'S SABRE, INDIVIDUAL",NONE
50795,MAURICIO LVAREZ DE LAS ASTURIAS BOHORQUES Y PONCE DE LON,M,35,SPAIN,SPAIN,ESP,1900 SUMMER,1900,SUMMER,PARIS,FENCING,"FENCING MEN'S EPEE, INDIVIDUAL",NONE
34566,JUAN CAMPS MAS,M,25,RAL-CLUB BARCELONA,SPAIN,ESP,1900 SUMMER,1900,SUMMER,PARIS,ROWING,ROWING MEN'S COXED FOURS,NONE
16927,"DOUARD BEAUDOIN, JR.",M,25,FRANCE,FRANCE,FRA,1900 SUMMER,1900,SUMMER,PARIS,ARCHERY,"ARCHERY MEN'S AU CORDON DORE, 50 METRES",NONE
53730,DENET,M,25,FRANCE,FRANCE,FRA,1900 SUMMER,1900,SUMMER,PARIS,ARCHERY,"ARCHERY MEN'S AU CORDON DORE, 50 METRES",NONE
69886,MILE LON FISSEUX,M,32,FRANCE,FRANCE,FRA,1900 SUMMER,1900,SUMMER,PARIS,ARCHERY,"ARCHERY MEN'S AU CORDON DORE, 50 METRES",BRONZE
53349,HENRY LON MILE DELOGE,M,25,FRANCE,FRANCE,FRA,1900 SUMMER,1900,SUMMER,PARIS,ATHLETICS,"ATHLETICS MEN'S 1,500 METRES",SILVER
40946,J. EUGNE CHOISEL,M,25,FRANCE,FRANCE,FRA,1900 SUMMER,1900,SUMMER,PARIS,ATHLETICS,ATHLETICS MEN'S 110 METRES HURDLES,NONE
38817,JEAN CHASTANI,M,24,FRANCE,FRANCE,FRA,1900 SUMMER,1900,SUMMER,PARIS,ATHLETICS,"ATHLETICS MEN'S 2,500 METRES STEEPLECHASE",BRONZE
40947,J. EUGNE CHOISEL,M,25,FRANCE,FRANCE,FRA,1900 SUMMER,1900,SUMMER,PARIS,ATHLETICS,ATHLETICS MEN'S 200 METRES HURDLES,NONE
38818,JEAN CHASTANI,M,24,FRANCE,FRANCE,FRA,1900 SUMMER,1900,SUMMER,PARIS,ATHLETICS,"ATHLETICS MEN'S 4,000 METRES STEEPLECHASE",NONE
42621,GEORGES CLAUDE CLMENT,M,25,FRANCE,FRANCE,FRA,1900 SUMMER,1900,SUMMER,PARIS,ATHLETICS,ATHLETICS MEN'S 400 METRES,NONE
66016,CHARLES-ROBERT FAIDIDE,M,25,FRANCE,FRANCE,FRA,1900 SUMMER,1900,SUMMER,PARIS,ATHLETICS,ATHLETICS MEN'S 400 METRES,NONE
36735,ANDR CASTANET,M,25,RACING CLUB DE FRANCE,FRANCE,FRA,1900 SUMMER,1900,SUMMER,PARIS,ATHLETICS,"ATHLETICS MEN'S 5,000 METRES, TEAM",SILVER
38260,ALBERT ALPHONSE CHAMPOUDRY,M,20,RACING CLUB DE FRANCE,FRANCE,FRA,1900 SUMMER,1900,SUMMER,PARIS,ATHLETICS,"ATHLETICS MEN'S 5,000 METRES, TEAM",SILVER
38819,JEAN CHASTANI,M,24,RACING CLUB DE FRANCE,FRANCE,FRA,1900 SUMMER,1900,SUMMER,PARIS,ATHLETICS,"ATHLETICS MEN'S 5,000 METRES, TEAM",SILVER
53350,HENRY LON MILE DELOGE,M,25,RACING CLUB DE FRANCE,FRANCE,FRA,1900 SUMMER,1900,SUMMER,PARIS,ATHLETICS,"ATHLETICS MEN'S 5,000 METRES, TEAM",SILVER
53348,HENRY LON MILE DELOGE,M,25,FRANCE,FRANCE,FRA,1900 SUMMER,1900,SUMMER,PARIS,ATHLETICS,ATHLETICS MEN'S 800 METRES,NONE
52932,ALBERT DELANNOY,M,25,FRANCE,FRANCE,FRA,1900 SUMMER,1900,SUMMER,PARIS,ATHLETICS,ATHLETICS MEN'S LONG JUMP,NONE
20821,EUGNE BESSE,M,25,FRANCE,FRANCE,FRA,1900 SUMMER,1900,SUMMER,PARIS,ATHLETICS,ATHLETICS MEN'S MARATHON,NONE
38255,MILE JULIEN CHAMPION,M,20,FRANCE,FRANCE,FRA,1900 SUMMER,1900,SUMMER,PARIS,ATHLETICS,ATHLETICS MEN'S MARATHON,SILVER
49527,GEORGES CLESTIN DAUNIS,M,21,FRANCE,FRANCE,FRA,1900 SUMMER,1900,SUMMER,PARIS,ATHLETICS,ATHLETICS MEN'S MARATHON,NONE
52933,ALBERT DELANNOY,M,25,FRANCE,FRANCE,FRA,1900 SUMMER,1900,SUMMER,PARIS,ATHLETICS,ATHLETICS MEN'S TRIPLE JUMP,NONE
10734,"WILLIAM DUNBAR ""WILLIE"" ATTRILL",M,25,UNION DES SOCITS FRANAIS DE SPORTS ATHLETIQUES,FRANCE,FRA,1900 SUMMER,1900,SUMMER,PARIS,CRICKET,CRICKET MEN'S CRICKET,SILVER
10962,GASTON ACHILLE LOUIS AUMOITTE,M,15,FRANCE,FRANCE,FRA,1900 SUMMER,1900,SUMMER,PARIS,CROQUET,CROQUET MIXED DOUBLES,GOLD
10961,GASTON ACHILLE LOUIS AUMOITTE,M,15,FRANCE,FRANCE,FRA,1900 SUMMER,1900,SUMMER,PARIS,CROQUET,"CROQUET MIXED SINGLES, ONE BALL",GOLD
